cat order,subcat order,category,subcategory,emoji,georgian,audio,english,russian
1,2,Foundations,Questions,⏳❓,რამდენ ხანს?,,how long?,как долго?
1,2,Foundations,Questions,🔢,რამდენი?,,how many?,сколько?
1,2,Foundations,Questions,💰❓,რა ღირს?,,how much does it cost?,сколько это стоит?
1,2,Foundations,Questions,🔁❓,რამდენად ხშირად?,,how often?,как часто?
1,2,Foundations,Questions,❓,რა?,,what?,что?
1,2,Foundations,Questions,⏰,როდის?,,when?,когда?
1,2,Foundations,Questions,🚻,სად არის ტუალეტი?,,where is the bathroom?,где туалет?
1,2,Foundations,Questions,📍,სად?,,where?,где?
1,2,Foundations,Questions,👈👉,რომელი?,,which?,какой?
1,2,Foundations,Questions,👤,ვინ?,,who?,кто?
1,2,Foundations,Questions,🤔,რატომ?,,why?,почему?
1,3,Foundations,Numbers,8️⃣,რვა,,eight,восемь
1,3,Foundations,Numbers,8️⃣0️⃣,ოთხმოცი,,eighty,восемьдесят
1,3,Foundations,Numbers,🤏,ცოტა,,few / a little,немного
1,3,Foundations,Numbers,5️⃣0️⃣,ორმოცდაათი,,fifty,пятьдесят
1,3,Foundations,Numbers,5️⃣,ხუთი,,five,пять
1,3,Foundations,Numbers,4️⃣0️⃣,ორმოცი,,forty,сорок
1,3,Foundations,Numbers,4️⃣,ოთხი,,four,четыре
1,3,Foundations,Numbers,🔢+,ბევრი,,many,много
1,3,Foundations,Numbers,9️⃣,ცხრა,,nine,девять
1,3,Foundations,Numbers,9️⃣0️⃣,ოთხმოცდაათი,,ninety,девяносто
1,3,Foundations,Numbers,1️⃣,ერთი,,one,один
1,3,Foundations,Numbers,1️⃣0️⃣0️⃣,ასი,,one hundred,сто
1,3,Foundations,Numbers,1️⃣0️⃣0️⃣0️⃣,ათასი,,one thousand,тысяча
1,3,Foundations,Numbers,7️⃣,შვიდი,,seven,семь
1,3,Foundations,Numbers,7️⃣0️⃣,სამოცდაათი,,seventy,семьдесят
1,3,Foundations,Numbers,6️⃣,ექვსი,,six,шесть
1,3,Foundations,Numbers,6️⃣0️⃣,სამოცი,,sixty,шестьдесят
1,3,Foundations,Numbers,🔟,ათი,,ten,десять
1,3,Foundations,Numbers,3️⃣0️⃣,ოცდაათი,,thirty,тридцать
1,3,Foundations,Numbers,3️⃣,სამი,,three,три
1,3,Foundations,Numbers,2️⃣0️⃣,ოცი,,twenty,двадцать
1,3,Foundations,Numbers,2️⃣,ორი,,two,два
1,3,Foundations,Numbers,0️⃣,ნული,,zero,ноль
1,4,Foundations,Times & Dates,☀️,შუადღეს,,afternoon,днём
1,4,Foundations,Times & Dates,📅,დღე,,day,день
1,4,Foundations,Times & Dates,🌇,საღამო,,evening,вечер
1,4,Foundations,Times & Dates,5️⃣📅,პარასკევი,,friday,пятница
1,4,Foundations,Times & Dates,🕒,საათი,,hour / clock,час / часы
1,4,Foundations,Times & Dates,⏳,მოგვიანებით,,later,позже
1,4,Foundations,Times & Dates,⏱️,წუთი,,minute,минута
1,4,Foundations,Times & Dates,1️⃣📅,ორშაბათი,,monday,понедельник
1,4,Foundations,Times & Dates,🗓️,თვე,,month,месяц
1,4,Foundations,Times & Dates,🌅,დილა,,morning,утро
1,4,Foundations,Times & Dates,🌃,ღამე,,night,ночь
1,4,Foundations,Times & Dates,⚡,ახლა,,now,сейчас
1,4,Foundations,Times & Dates,6️⃣📅,შაბათი,,saturday,суббота
1,4,Foundations,Times & Dates,7️⃣📅,კვირა,,sunday,воскресенье
1,4,Foundations,Times & Dates,4️⃣📅,ხუთშაბათი,,thursday,четверг
1,4,Foundations,Times & Dates,📅👇,დღეს,,today,сегодня
1,4,Foundations,Times & Dates,📅➡️,ხვალ,,tomorrow,завтра
1,4,Foundations,Times & Dates,2️⃣📅,სამშაბათი,,tuesday,вторник
1,4,Foundations,Times & Dates,3️⃣📅,ოთხშაბათი,,wednesday,среда
1,4,Foundations,Times & Dates,1️⃣-7️⃣,კვირა,,week,неделя
1,4,Foundations,Times & Dates,🎆,წელი,,year,год
1,4,Foundations,Times & Dates,📅⬅️,გუშინ,,yesterday,вчера
1,5,Foundations,Help,📞,დარეკეთ...,,call...,позвоните...
1,5,Foundations,Help,🤲,მომეცით,,give me,дайте мне
1,5,Foundations,Help,🟢,წადით,,go,идите
1,5,Foundations,Help,🆘,დამეხმარეთ,,help me,помогите мне
1,5,Foundations,Help,🙋,მე მინდა...,,I want...,Я хочу...
1,5,Foundations,Help,👂,მომისმინეთ,,listen,послушайте меня.
1,5,Foundations,Help,👀,შეხედეთ,,look,смотрите
1,5,Foundations,Help,🔁,გაიმეორეთ,,repeat,повторите
1,5,Foundations,Help,🗺️,მაჩვენეთ,,show me,покажите мне
1,5,Foundations,Help,🐢,ნელა,,slowly,медленно
1,5,Foundations,Help,🛑,გაჩერდით,,stop,остановитесь
1,5,Foundations,Help,⏳,დაელოდეთ,,wait,подождите
1,5,Foundations,Help,✍️,ჩაწერეთ,,write it down,запишите это
2,1,People,Actions,🏠🚶,მოვდივარ,,I am coming,Я иду (к тебе)
2,1,People,Actions,🚶🏠,მე მივდივარ,,I am going,Я иду (в ...)
2,1,People,Actions,🪥,მე ვიხეხავ,,I brush,Я чищу
2,1,People,Actions,💰,მე ვყიდულობ,,I buy,Я покупаю
2,1,People,Actions,📞,მე ვრეკავ,,I call,Я звоню
2,1,People,Actions,🎒,მე მიმაქვს,,I carry,Я ношу
2,1,People,Actions,🧹,მე ვასუფთავებ,,I clean,Я убираю
2,1,People,Actions,😢,მე ვტირი,,I cry,Я плачу
2,1,People,Actions,🥤,მე ვსვამ,,I drink,Я пью
2,1,People,Actions,🍽️,მე ვჭამ,,I eat,Я ем
2,1,People,Actions,💪,მე ვვარჯიშობ,,I exercise,Я занимаюсь спортом
2,1,People,Actions,🛠️,მე ვაკეთებ,,I fix,Я ремонтирую
2,1,People,Actions,🎁,მე ვაძლევ,,I give,Я даю
2,1,People,Actions,🐶,მე მყავს,,I have (living beings),у меня есть (живые существа)
2,1,People,Actions,📦,მე მაქვს,,I have (objects),у меня есть (предметы)
2,1,People,Actions,👂,მე მესმის,,I hear,Я слышу
2,1,People,Actions,🧠,მე ვიცი,,I know,Я знаю
2,1,People,Actions,😂,მე ვიცინი,,I laugh,Я смеюсь
2,1,People,Actions,🏋️,მე ვწევ,,I lift,Я поднимаю
2,1,People,Actions,👍,მე მომწონს,,I like,мне нравится
2,1,People,Actions,🎧,მე ვუსმენ,,I listen,Я слушаю
2,1,People,Actions,🏠,მე ვცხოვრობ,,I live,Я живу
2,1,People,Actions,♥️,მე მიყვარს,,I love,Я люблю
2,1,People,Actions,📱,მე ვწერ (მესიჯს),,I message,Я отправляю сообщение
2,1,People,Actions,🙏,მე მჭირდება,,I need,мне нужно
2,1,People,Actions,🍳,მე ვამზადებ,,I prepare,Я готовлю
2,1,People,Actions,🛒,მე ვაწვები,,I push,Я толкаю
2,1,People,Actions,📖,მე ვკითხულობ,,I read,Я читаю
2,1,People,Actions,💬,მე ვამბობ,,I say / tell,Я говорю
2,1,People,Actions,😱,მე ვყვირი,,I scream,Я кричу
2,1,People,Actions,🔍,მე ვეძებ,,I search,Я ищу
2,1,People,Actions,👁️,მე ვხედავ,,I see,Я вижу
2,1,People,Actions,🚿,მე ვბანაობ,,I shower,Я принимаю душ
2,1,People,Actions,😴,მე მძინავს,,I sleep,Я сплю
2,1,People,Actions,👃,მე ვგრძნობ სუნს,,I smell,Я чувствую запах
2,1,People,Actions,😊,მე ვიღიმი,,I smile,Я улыбаюсь
2,1,People,Actions,🗣️,მე ვლაპარაკობ,,I speak,Я говорю
2,1,People,Actions,🦮,მე ვსეირნობ,,I stroll,Я гуляю
2,1,People,Actions,🎓,ვსწავლობ,,I study,Я учусь
2,1,People,Actions,🤲,მე ვიღებ,,I take,Я беру
2,1,People,Actions,👥,მე ვსაუბრობ,,I talk,Я общаюсь
2,1,People,Actions,👅,მე ვსინჯავ,,I taste,Я пробую
2,1,People,Actions,🤔,მე ვფიქრობ,,I think,Я думаю
2,1,People,Actions,👉,მე ვეხები,,I touch,Я прикасаюсь
2,1,People,Actions,⏳,მე ველოდები,,I wait,Я жду
2,1,People,Actions,🌅,მე ვიღვიძებ,,I wake up,Я просыпаюсь
2,1,People,Actions,🧼,მე ვრეცხავ,,I wash,Я мою
2,1,People,Actions,📺,მე ვუყურებ,,I watch,Я смотрю
2,1,People,Actions,💼,მე ვმუშაობ,,I work,Я работаю
2,1,People,Actions,✍️,მე ვწერ,,I write,Я пишу
2,2,People,Family,👶,ბავშვი,,baby,малыш
2,2,People,Family,👦(👧),ძმა,,brother,брат
2,2,People,Family,👦👧,ბავშვები,,children,дети
2,2,People,Family,👧(👫),ქალიშვილი,,daughter,дочь
2,2,People,Family,🧑‍🧑‍🧒‍🧒,ოჯახი,,family,семья
2,2,People,Family,👨(👧),მამა,,father,отец
2,2,People,Family,👨(👴),შვილიშვილი,,grandchild,внук / внучка
2,2,People,Family,👴,ბაბუა / პაპა,,grandfather,дедушка
2,2,People,Family,👵,ბებია,,grandmother,бабушка
2,2,People,Family,🧍‍♂️💍,ქმარი,,husband,муж
2,2,People,Family,🤰,დედა,,mother,мать
2,2,People,Family,👫,მშობლები,,parents,родители
2,2,People,Family,👧(👦),და,,sister,сестра
2,2,People,Family,👦(👫),ვაჟიშვილი,,son,сын
2,2,People,Family,🧍‍♀️💍,ცოლი,,wife,жена
2,3,People,Social,👋,ნაცნობი,,acquaintance,знакомый
2,3,People,Social,👦,ბიჭი,,boy,мальчик
2,3,People,Social,👶,ბავშვი,,child,ребенок
2,3,People,Social,👫,წყვილი,,couple,пара
2,3,People,Social,🫂,მეგობარი,,friend,друг
2,3,People,Social,👧,გოგო,,girl,девочка / девушка
2,3,People,Social,🛋️,სტუმარი,,guest,гость
2,3,People,Social,🧔,კაცი,,man,мужчина
2,3,People,Social,🏠🙋,მეზობელი,,neighbor,сосед
2,3,People,Social,👥,ადამიანები,,persons,люди
2,3,People,Social,👤,უცნობი,,stranger,незнакомец
2,3,People,Social,👩,ქალი,,woman,женщина
2,4,People,Professions,👩‍🎨,მხატვარი,,artist,художник
2,4,People,Professions,🏃,სპორტსმენი,,athlete,спортсмен
2,4,People,Professions,👩‍🍳,მცხობელი,,baker,пекарь
2,4,People,Professions,👨‍🍳,მზარეული,,chef,повар
2,4,People,Professions,🦷,სტომატოლოგი,,dentist,стоматолог
2,4,People,Professions,🕵️,დეტექტივი,,detective,детектив
2,4,People,Professions,👩‍⚕️,ექიმი,,doctor,врач
2,4,People,Professions,🚕,მძღოლი,,driver,водитель
2,4,People,Professions,👨‍🌾,გლეხი,,farmer,фермер
2,4,People,Professions,👨‍🚒,მეხანძრე,,firefighter,пожарный
2,4,People,Professions,💂,მცველი,,guard,охранник
2,4,People,Professions,🛠️,ხელოსანი,,handyman,мастер
2,4,People,Professions,👨‍⚖️,მოსამართლე,,judge,судья
2,4,People,Professions,👨‍🔧,მექანიკოსი,,mechanic,механик
2,4,People,Professions,👨‍💻,თანამშრომელი,,office worker,офисный работник
2,4,People,Professions,👩‍✈️,პილოტი,,pilot,пилот
2,4,People,Professions,👮,პოლიციელი,,police officer,полицейский
2,4,People,Professions,👩‍🔬,მეცნიერი,,scientist,ученый
2,4,People,Professions,👩‍🎓,სტუდენტი,,student,студент
2,4,People,Professions,👨‍🏫,მასწავლებელი,,teacher,учитель
2,4,People,Professions,💁‍♀️,მიმტანი,,waiter,официант
2,4,People,Professions,👷‍♂️,მუშა,,worker,работник
2,5,People,Body,💪,ხელი / მკლავი,,arm,рука
2,5,People,Body,🚶‍♂️⬅️,ზურგი,,back,спина
2,5,People,Body,🩸,სისხლი,,blood,кровь
2,5,People,Body,🦴,ძვალი,,bone,кость
2,5,People,Body,🧠,ტვინი,,brain,мозг
2,5,People,Body,👂,ყური,,ear,ухо
2,5,People,Body,👁️,თვალი,,eye,глаз
2,5,People,Body,☝️,თითი,,finger,палец
2,5,People,Body,💅,ფრჩხილები,,fingernails,ногти
2,5,People,Body,🦶,ტერფი,,foot,ступня
2,5,People,Body,💇,თმა,,hair,волосы
2,5,People,Body,✋,ხელი,,hand,рука
2,5,People,Body,👤,თავი,,head,голова
2,5,People,Body,❤️,გული,,heart,сердце
2,5,People,Body,🦵,ფეხი,,leg,нога
2,5,People,Body,💋,ტუჩი,,lip,губа
2,5,People,Body,👄,პირი,,mouth,рот
2,5,People,Body,👃,ცხვირი,,nose,нос
2,5,People,Body,🖐🏼,კანი,,skin,кожа
2,5,People,Body,🤢,კუჭი,,stomach,желудок
2,5,People,Body,👅,ენა,,tongue,язык
2,5,People,Body,🦷,კბილი,,tooth,зуб
2,6,People,Feelings,😡,გაბრაზებული,,angry,злой / сердитый
2,6,People,Feelings,😐,მოწყენილი,,bored,скучающий
2,6,People,Feelings,🤔,დაბნეული,,confused,смущенный
2,6,People,Feelings,🗣️💨,ხველა,,cough,кашель
2,6,People,Feelings,😭,ტირილი,,crying,плач
2,6,People,Feelings,🌡️,ცხელება / ტემპერატურა,,fever / temperature,температура
2,6,People,Feelings,😀,ბედნიერი,,happy,счастливый
2,6,People,Feelings,🥶,მცივა,,I am cold,мне холодно
2,6,People,Feelings,🥵,მცხელა,,I am hot,мне жарко
2,6,People,Feelings,😋,მშიი,,I am hungry,Я голодный
2,6,People,Feelings,🥤,მწყურია,,I am thirsty,Я хочу пить
2,6,People,Feelings,🤢,ცუდად / ავად ვარ,,I feel bad / sick,мне плохо
2,6,People,Feelings,😍,შეყვარებული,,in love,влюбленный
2,6,People,Feelings,📍💥,აქ მტკივა,,it hurts here,у меня здесь болит
2,6,People,Feelings,😂,სიცილი,,laughter,смех
2,6,People,Feelings,🤕,ტკივილი,,paints,боль
2,6,People,Feelings,😢,მოწყენილი,,sad,грустный
2,6,People,Feelings,😱,შეშინებული,,scared,испуганный
2,6,People,Feelings,🤒,ავად,,sick,больной
2,6,People,Feelings,😴,ძილიანი,,sleepy,сонный
2,6,People,Feelings,😲,გაკვირვებული,,surprised,удивленный
3,1,Home,Rooms,🌅,აივანი,,balcony,балкон
3,1,Home,Rooms,🛁,აბაზანა,,bathroom,ванная комната
3,1,Home,Rooms,🛏️,საძინებელი,,bedroom,спальня
3,1,Home,Rooms,🍽️,სასადილო ოთახი,,dining room,столовая
3,1,Home,Rooms,🛗,ლიფტი,,elevator,лифт
3,1,Home,Rooms,👣,იატაკი,,floor,пол
3,1,Home,Rooms,🏡,ეზო,,garden,сад
3,1,Home,Rooms,🚪,დერეფანი,,hallway,коридор
3,1,Home,Rooms,🍳,სამზარეულო,,kitchen,кухня
3,1,Home,Rooms,🛋️,სასტუმრო ოთახი,,living room,гостиная
3,1,Home,Rooms,🖨️,კაბინეტი,,office / study,кабинет
3,1,Home,Rooms,🚻,ტუალეტი,,toilet / restroom,туалет
3,1,Home,Rooms,🧱,კედელი,,wall,стена
3,2,Home,Furniture,🛏️,საწოლი,,bed,кровать
3,2,Home,Furniture,📚,წიგნების თარო,,bookshelf,книжная полка
3,2,Home,Furniture,🪑,სკამი,,chair,стул
3,2,Home,Furniture,👕,კარადა,,closet,шкаф
3,2,Home,Furniture,🪑🛋️,ავეჯი,,furniture,мебель
3,2,Home,Furniture,💡,სანათი,,lamp,лампа
3,2,Home,Furniture,🪞,სარკე,,mirror,зеркало
3,2,Home,Furniture,🟫,ხალიჩა,,rug,коврик
3,2,Home,Furniture,🛋️,დივანი,,sofa,диван
3,2,Home,Furniture,🍽️,მაგიდა,,table,стол
3,3,Home,Appliances,❄️,კონდიციონერი,,air conditioner,кондиционер
3,3,Home,Appliances,🛀,აბაზანა,,bathtub,ванна
3,3,Home,Appliances,🍽️🫧,ჭურჭლის სარეცხი მანქანა,,dishwasher,посудомоечная машина
3,3,Home,Appliances,🚪,კარი,,door,дверь
3,3,Home,Appliances,🔔,კარის ზარი,,doorbell,дверной звонок
3,3,Home,Appliances,🌀,ვენტილატორი,,fan,вентилятор
3,3,Home,Appliances,🔥,გამათბობელი,,heater,обогреватель
3,3,Home,Appliances,🔌,როზეტი,,outlet,розетка
3,3,Home,Appliances,🥖🔥,ღუმელი,,oven,духовка
3,3,Home,Appliances,🧊,მაცივარი,,refrigerator,холодильник
3,3,Home,Appliances,🚿,შხაპი,,shower,душ
3,3,Home,Appliances,🚰,ნიჟარა,,sink,раковина
3,3,Home,Appliances,🔊,დინამიკი,,speaker,динамик
3,3,Home,Appliances,🪜,კიბე,,stairs,лестница
3,3,Home,Appliances,🍳♨️,ქურა,,stove,плита
3,3,Home,Appliances,📺,ტელევიზორი,,television,телевизор
3,3,Home,Appliances,🚽,ტუალეტი,,toilet,туалет
3,3,Home,Appliances,🧼👕,სარეცხი მანქანა,,washing machine,стиральная машина
3,3,Home,Appliances,📶,ვაიფაი,,wifi,wi-fi
3,3,Home,Appliances,🪟,ფანჯარა,,window,окно
3,4,Home,Clothes,🎒,ზურგჩანთა,,backpack,рюкзак
3,4,Home,Clothes,👜,ჩანთა,,bag,сумка
3,4,Home,Clothes,🥾,ჩექმები,,boots,ботинки
3,4,Home,Clothes,🥼,პერანგი,,buttoned shirt,рубашка
3,4,Home,Clothes,🧢,ქუდი,,cap,кепка
3,4,Home,Clothes,🧥,პალტო,,coat,пальто
3,4,Home,Clothes,👗,კაბა,,dress,платье
3,4,Home,Clothes,👓,სათვალე,,glasses,очки
3,4,Home,Clothes,🧤,ხელთათმანები,,gloves,перчатки
3,4,Home,Clothes,👖,შარვალი,,pants,брюки
3,4,Home,Clothes,💍,ბეჭედი,,ring,кольцо
3,4,Home,Clothes,🧣,შარფი,,scarf,шарф
3,4,Home,Clothes,👕,მაისური,,shirt,футболка
3,4,Home,Clothes,👟,ფეხსაცმელი,,shoes,обувь
3,4,Home,Clothes,🧦,წინდები,,socks,носки
3,4,Home,Clothes,👔,კოსტუმი,,suit,костюм
3,4,Home,Clothes,🕶️,მზის სათვალე,,sunglasses,солнцезащитные очки
3,4,Home,Clothes,🧶,სვიტერი,,sweater,свитер
3,4,Home,Clothes,☂️,ქოლგა,,umbrella,зонтик
3,4,Home,Clothes,🩲,საცვლები,,underwear,нижнее белье
3,4,Home,Clothes,👛,საფულე,,wallet,кошелек
3,5,Home,Items,⚽,ბურთი,,ball,мяч
3,5,Home,Items,🩹,სანტავიკი,,bandage,пластырь
3,5,Home,Items,🔋,ბატარეა,,battery,батарея
3,5,Home,Items,🥣,ჯამი,,bowl,миска
3,5,Home,Items,🧹,ცოცხი,,broom,метла
3,5,Home,Items,📅,კალენდარი,,calendar,календарь
3,5,Home,Items,📷,კამერა,,camera,камера
3,5,Home,Items,💵,ნაღდი ფული,,cash,наличные
3,5,Home,Items,⏰,საათი,,clock,часы
3,5,Home,Items,🪙,მონეტები,,coins,монеты
3,5,Home,Items,🪮,სავარცხელი,,comb,расческа
3,5,Home,Items,💳,საკრედიტო ბარათი,,credit card,кредитная карта
3,5,Home,Items,🥤,ჭიქა,,cup,чашка
3,5,Home,Items,🥣🍽️,ჭურჭელი,,dishes,посуда
3,5,Home,Items,🔦,ფანარი,,flashlight,фонарик
3,5,Home,Items,🍴,ჩანგალი,,fork,вилка
3,5,Home,Items,🎮,თამაშები,,games,игры
3,5,Home,Items,🎸,გიტარა,,guitar,гитара
3,5,Home,Items,🔑,გასაღები,,key,ключ
3,5,Home,Items,🔪,დანა,,knife,нож
3,5,Home,Items,🧺,სარეცხი კალათა,,laundry basket,корзина для белья
3,5,Home,Items,💊,წამალი,,medicine,лекарство
3,5,Home,Items,💰,ფული,,money,деньги
3,5,Home,Items,☕,ჩაის/ყავას ჭიქა,,mug,кружка
3,5,Home,Items,🎨,საღებავები,,paints,краски
3,5,Home,Items,🍳,ტაფა,,pan,сковорода
3,5,Home,Items,📎,სამაგრის სამაგრი,,paperclip,скрепка для бумаг
3,5,Home,Items,📞,ტელეფონი,,phone,телефон
3,5,Home,Items,🎹,ფორტეპიანო,,piano,фортепиано
3,5,Home,Items,🖼️,სურათი,,picture,картина
3,5,Home,Items,🍽️,თეფში,,plate,тарелка
3,5,Home,Items,📻,რადიო,,radio,радио
3,5,Home,Items,🪒,საპარსი,,razor,бритва
3,5,Home,Items,🧼,საპონი,,soap,мыло
3,5,Home,Items,🧽,ღრუბელი,,sponge,губка
3,5,Home,Items,🥄,კოვზი,,spoon,ложка
3,5,Home,Items,🧳,ჩემოდანი,,suitcase,чемодан
3,5,Home,Items,🤧,ხელსახოცი,,tissue / napkin,салфетка
3,5,Home,Items,🧻,ტუალეტის ქაღალდი,,toilet paper,туалетная бумага
3,5,Home,Items,🪥,კბილის ჯაგრისი,,toothbrush,зубная щетка
3,5,Home,Items,🗑️,ნაგვის ურნა,,trash bin,мусорное ведро
3,6,Home,Office,📖,წიგნი,,book,книга
3,6,Home,Office,🖩,კალკულატორი,,calculator,калькулятор
3,6,Home,Office,🖥️,კომპიუტერი,,computer,компьютер
3,6,Home,Office,✉️,კონვერტი,,envelope,конверт
3,6,Home,Office,🧴+📄,წებო,,glue,клей
3,6,Home,Office,🎧,ყურსასმენები,,headphones,наушники
3,6,Home,Office,⌨️,კლავიატურა,,keyboard,клавиатура
3,6,Home,Office,💻,ლეპტოპი,,laptop,ноутбук
3,6,Home,Office,📜,წერილი,,letter,письмо
3,6,Home,Office,🖍️,მარკერი,,marker,маркер
3,6,Home,Office,📰,გაზეთი,,newspaper,газета
3,6,Home,Office,📓,ბლოკნოტი,,notebook,блокнот
3,6,Home,Office,📄,ქაღალდი,,paper,бумага
3,6,Home,Office,🖋️,კალამი,,pen,ручка
3,6,Home,Office,✏️,ფანქარი,,pencil,карандаш
3,6,Home,Office,🖨️,პრინტერი,,printer,принтер
3,6,Home,Office,🧾,ქვითარი,,receipt,квитанция
3,6,Home,Office,📏,სახაზავი,,ruler,линейка
3,6,Home,Office,✂️,მაკრატელი,,scissors,ножницы
4,1,Food,Fruits,🍎,ვაშლი,,apple,яблоко
4,1,Food,Fruits,🍌,ბანანი,,banana,банан
4,1,Food,Fruits,🫐,მოცვი,,blueberry,голубика
4,1,Food,Fruits,🌰,წაბლი,,chestnut,каштан
4,1,Food,Fruits,🍎🍌,ხილი,,fruits,фрукты
4,1,Food,Fruits,🍇,ყურძენი,,grapes,виноград
4,1,Food,Fruits,🍋,ლიმონი,,lemon,лимон
4,1,Food,Fruits,🍊,ფორთოხალი,,orange,апельсин
4,1,Food,Fruits,🍑,ატამი,,peach,персик
4,1,Food,Fruits,🍐,მსხალი,,pear,груша
4,1,Food,Fruits,🍍,ანანასი,,pineapple,ананас
4,1,Food,Fruits,🍒🍋,ალუბალი,,sour cherry,вишня
4,1,Food,Fruits,🍓,მარწყვი,,strawberry,клубника
4,1,Food,Fruits,🍒🍭,ბალი,,sweet cherry,черешня
4,1,Food,Fruits,🍉,საზამთრო,,watermelon,арбуз
4,2,Food,Vegetables,🥑,ავოკადო,,avocado,авокадо
4,2,Food,Vegetables,🫘,ლობიო,,beans,фасоль
4,2,Food,Vegetables,🫜,ჭარხალი,,beet,свекла
4,2,Food,Vegetables,🥦,ბროკოლი,,broccoli,брокколи
4,2,Food,Vegetables,🥬,კომბოსტო,,cabbage,капуста
4,2,Food,Vegetables,🥕,სტაფილო,,carrot,морковь
4,2,Food,Vegetables,🌽,სიმინდი,,corn,кукуруза
4,2,Food,Vegetables,🥒,კიტრი,,cucumber,огурец
4,2,Food,Vegetables,🍆,ბადრიჯანი,,eggplant,баклажан
4,2,Food,Vegetables,🧄,ნიორი,,garlic,чеснок
4,2,Food,Vegetables,🌿,მწვანილი,,greens / herbs,зелень
4,2,Food,Vegetables,🍄,სოკო,,mushroom,гриб
4,2,Food,Vegetables,🧅,ხახვი,,onion,лук
4,2,Food,Vegetables,🌶️,წიწაკა,,pepper,перец
4,2,Food,Vegetables,🥔,კარტოფილი,,potato,картофель
4,2,Food,Vegetables,🍅,პომიდორი,,tomato,помидор
4,2,Food,Vegetables,🥕🥒,ბოსტნეული,,vegetables,овощи
4,3,Food,Meat & Dairy,🐄,საქონლის ხორცი,,beef,говядина
4,3,Food,Meat & Dairy,🧈,კარაქი,,butter,сливочное масло
4,3,Food,Meat & Dairy,🧀,ყველი,,cheese,сыр
4,3,Food,Meat & Dairy,🐔,ქათამი,,chicken,курица
4,3,Food,Meat & Dairy,🍚,ხაჭო,,cottage cheese,творог
4,3,Food,Meat & Dairy,🍶,ნაღები,,cream,сливки
4,3,Food,Meat & Dairy,🥚,კვერცხი,,egg,яйцо
4,3,Food,Meat & Dairy,🐟,თევზი,,fish,рыба
4,3,Food,Meat & Dairy,🐑,ბატკნის ხორცი,,lamb,баранина
4,3,Food,Meat & Dairy,🥩🍗,ხორცი,,meats,мясо
4,3,Food,Meat & Dairy,🥛,რძე,,milk,молоко
4,3,Food,Meat & Dairy,🐖,ღორის ხორცი,,pork,свинина
4,3,Food,Meat & Dairy,🌭,ძეხვი,,sausage,колбаса
4,3,Food,Meat & Dairy,🦃,ინდაური,,turkey,индейка
4,3,Food,Meat & Dairy,🥣,მაწონი,,yogurt,йогурт
4,4,Food,Pantry,🍞,პური,,bread,хлеб
4,4,Food,Pantry,🥫,დაკონსერვებული საკვები,,canned food,консервы
4,4,Food,Pantry,🌾,ფქვილი,,flour,мука
4,4,Food,Pantry,🍯,თაფლი,,honey,мед
4,4,Food,Pantry,🌻,ზეთი,,oil,растительное масло
